1. MGI accession id	3. marker symbol	6. Entrez gene id
MGI:95933	H2-Q4	15015
MGI:95934	H2-Q5	15016
MGI:95935	H2-Q6	110557
MGI:95936	H2-Q7	15018
MGI:95942	H2-T10	15024
MGI:95956	H2-T22	15039
MGI:95957	H2-T23	15040
MGI:95958	H2-T24	15042
MGI:95959	H2-T3	15043
MGI:95975	Ifi44l	15061
MGI:95994	Selenos	109815
MGI:96009	Hadh	15107
MGI:96010	Hal	15109
MGI:96011	Hao1	15112
MGI:96012	Hao2	56185
MGI:96013	Hat1	107435
MGI:96015	Hba-a1	15122
MGI:96016	Hba-a2	110257
MGI:96017	Hba-ps3	15124
MGI:96018	Hba-ps4	383229
MGI:96019	Hba-x	15126
MGI:96023	Hbb-bh0	null
MGI:96024	Hbb-bh1	15132
MGI:96025	Hbb-bh2	436003
MGI:96026	Hbb-bh3	15134
MGI:96027	Hbb-y	15135
MGI:96031	Hc	15139
MGI:96051	Serpind1	15160
MGI:96052	Hck	15162
MGI:96055	Ptpn6	15170
MGI:96062	Hdc	15186
MGI:96067	Htt	15194
MGI:96070	Hbegf	15200
MGI:96071	Hesx1	15209
MGI:96073	Hexa	15211
MGI:96074	Hexb	15212
MGI:96078	Hgd	15233
MGI:96079	Hgf	15234
MGI:96080	Mst1	15235
MGI:96083	Nrg1	211323
MGI:96086	Hhex	15242
MGI:96090	Asmt	107626
MGI:96091	Vis1	110153
MGI:96097	Hist2h2aa1	15267
MGI:96100	Hivep1	110521
MGI:96103	Hk1	15275
MGI:96108	Hlf	217082
MGI:96109	Hlx	15284
MGI:96112	Hmbs	15288
MGI:96113	Hmgb1	15289
MGI:96114	Hmgb1-ps8	108167769
MGI:96115	Hmgb1-ps9	108168111
MGI:96120	Hmgn1	15312
MGI:96136	Hmgn2	15331
MGI:96157	Hmgb2	97165
MGI:96158	Hmgcl	15356
MGI:96159	Hmgcr	15357
MGI:96160	Hmga1	15361
MGI:96161	Hmga1b	111241
MGI:96163	Hmox1	15368
MGI:96170	Hoxa1	15394
MGI:96171	Hoxa10	15395
MGI:96172	Hoxa11	15396
MGI:96173	Hoxa13	15398
MGI:96174	Hoxa2	15399
MGI:96175	Hoxa3	15400
MGI:96176	Hoxa4	15401
